domain,skill,split,feature,n,mean,median,minimum,maximum
merged,distinct_skills,test,is_journal,140,0.7071428571428572,1.0,0.0,1.0
merged,must_have,all,input_words,607,431.0658978583196,433.0,26.0,947.0
merged,must_have,all,target_items,607,14.71993410214168,12.0,1.0,67.0
merged,must_have,all,target_words,607,60.60790774299835,40.0,1.0,284.0
merged,must_have,all,is_journal,607,0.528830313014827,1.0,0.0,1.0
merged,must_have,train,input_words,243,430.679012345679,433.0,26.0,945.0
merged,must_have,train,target_items,243,14.703703703703704,12.0,1.0,67.0
merged,must_have,train,target_words,243,60.55555555555556,40.0,1.0,237.0
merged,must_have,train,is_journal,243,0.5308641975308642,1.0,0.0,1.0
merged,must_have,validation,input_words,61,429.04918032786884,431.0,132.0,750.0
merged,must_have,validation,target_items,61,14.655737704918034,11.0,1.0,50.0
merged,must_have,validation,target_words,61,60.32786885245902,40.0,1.0,202.0
merged,must_have,validation,is_journal,61,0.5245901639344263,1.0,0.0,1.0
merged,must_have,test,input_words,303,431.7821782178218,433.0,56.0,947.0
merged,must_have,test,target_items,303,14.745874587458745,11.0,1.0,63.0
merged,must_have,test,target_words,303,60.70627062706271,40.0,1.0,284.0
merged,must_have,test,is_journal,303,0.528052805280528,1.0,0.0,1.0
merged,nice_to_have,all,input_words,343,444.4344023323615,449.0,25.0,947.0
merged,nice_to_have,all,target_items,343,3.9096209912536444,3.0,1.0,24.0
merged,nice_to_have,all,target_words,343,10.513119533527696,8.0,1.0,78.0
merged,nice_to_have,all,is_journal,343,0.5160349854227405,1.0,0.0,1.0
merged,nice_to_have,train,input_words,137,445.0948905109489,456.0,25.0,947.0
merged,nice_to_have,train,target_items,137,3.9197080291970803,3.0,1.0,19.0
merged,nice_to_have,train,target_words,137,10.525547445255475,8.0,1.0,49.0
merged,nice_to_have,train,is_journal,137,0.5109489051094891,1.0,0.0,1.0
merged,nice_to_have,validation,input_words,34,448.2647058823529,440.0,174.0,945.0
merged,nice_to_have,validation,target_items,34,3.9411764705882355,3.0,1.0,19.0
merged,nice_to_have,validation,target_words,34,10.617647058823529,8.0,2.0,45.0
merged,nice_to_have,validation,is_journal,34,0.5294117647058824,1.0,0.0,1.0
merged,nice_to_have,test,input_words,172,443.1511627906977,446.5,136.0,881.0
merged,nice_to_have,test,target_items,172,3.895348837209302,3.0,1.0,24.0
merged,nice_to_have,test,target_words,172,10.482558139534884,8.0,1.0,78.0
merged,nice_to_have,test,is_journal,172,0.5174418604651163,1.0,0.0,1.0
